Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score
12346,326,1,154367.2,1,1,4
12347,2,7,8620.0,4,4,4
12348,75,4,3594.48,2,3,4
12349,19,1,3515.1,3,1,4
12350,310,1,668.8,1,1,2
12352,36,8,5012.08,3,4,4
12353,204,1,178.0,1,1,1
12354,232,1,2158.8,1,1,3
12355,214,1,918.8,1,1,2
12356,23,3,5622.86,3,3,4
12357,33,1,12415.34,3,1,4
12358,2,2,2336.12,4,2,3
12359,58,4,12620.06,2,3,4
12360,52,3,5324.12,2,3,4
12361,287,1,379.8,1,1,1
12362,3,10,10452.46,4,4,4
12363,110,2,1104.0,2,2,2
12364,8,4,2626.2,4,3,3
12365,291,2,1282.76,1,2,2
12367,4,1,337.8,4,1,1
12370,51,4,7083.88,3,3,4
12371,45,2,3775.92,3,2,4
12372,72,3,2596.08,2,3,3
12373,311,1,729.2,1,1,2
12374,25,1,1485.8600000000001,3,1,3
12375,11,2,915.0,4,2,2
12377,315,2,3256.24,1,2,3
12378,130,1,8017.24,2,1,4
12379,82,2,1704.48,2,2,3
12380,22,4,5449.62,3,3,4
12381,5,5,3690.62,4,3,4
12383,185,5,3701.12,1,3,4
12384,29,2,1170.54,3,2,2
12386,338,2,803.8,1,2,2
12388,16,6,5561.32,4,4,4
12390,80,1,1099.68,2,1,2
12391,22,1,879.32,3,1,2
12393,72,4,3165.2000000000003,2,3,3
12394,64,2,2544.96,2,2,3
12395,19,12,6037.26,3,4,4
12397,36,2,4819.8,3,2,4
12398,46,1,3271.3199999999997,3,1,3
12399,119,4,2217.3,2,3,3
12401,303,1,168.6,1,1,1
12402,323,1,451.2,1,1,1
12403,50,1,855.4,3,1,2
12405,149,1,3420.78,1,1,4
12406,22,2,6830.6,3,2,4
12407,50,5,3416.2400000000002,3,3,4
12408,33,5,5777.1,3,3,4
12409,79,3,22145.34,2,3,4
12410,309,2,1386.6599999999999,1,2,3
12412,75,3,2453.76,2,3,3
12413,67,3,1516.2,2,3,3
12414,217,3,1124.82,1,3,2
12415,24,21,249829.06,3,4,4
12417,3,9,7298.2,4,4,4
12418,113,1,1337.16,2,1,3
12420,64,1,1200.78,2,1,2
12421,16,4,1614.08,4,3,3
12422,96,3,1607.1200000000001,2,3,3
12423,1,8,3718.62,4,4,4
